,Location,Sex Assigned at Birth,Age,Education,Race/Origin,Citizenship,Marital Status,Religion,Religious Service Attendance,Politics,Income,Political Views,Household Size,Employment Status
1236,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,Postgraduate,Black,,Married,Protestant,Once a week,Republican,,Very conservative,More than 4,Full-time employment
1238,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,Postgraduate,White,"Yes, a citizen of the United States",Divorced,Roman Catholic,Once or twice a month,Republican,,Very conservative,3 people,Full-time employment
1239,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,High school graduate,White,"Yes, a citizen of the United States",,Protestant,Once or twice a month,,,Very conservative,4 people,Full-time employment
1240,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,Associate's degree,White,,Married,Buddhist,Never,Democrat,,Liberal,2,Unemployed
1242,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,Associate's degree,White,"Yes, a citizen of the United States",Never been married,Agnostic,Never,,,Moderate,3 people,Full-time employment
1243,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,Hispanic,,Married,Protestant,Once a week,Independent,,Moderate,4,Full-time employment
1245,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,"Some college, no degree",Asian,"Yes, a citizen of the United States",Never been married,Buddhist,A few times a year,Democrat,,Moderate,More than 4,Student
1247,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,65+,Postgraduate,White,"Yes, a citizen of the United States",Married,Jewish,Never,,,Liberal,2 people,Retired
1249,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,College graduate/some postgrad,White,,Married,Roman Catholic,Seldom,Democrat,"$100,000 or more",Liberal,2,Retired
1251,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,Associate's degree,White,"Yes, a citizen of the United States",,Roman Catholic,More than once a week,,,Very conservative,3 people,Full-time employment
1252,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,"Some college, no degree",White,"Yes, a citizen of the United States",Divorced,Atheist,Never,Democrat,"Less than $30,000",Liberal,1 person,Retired
1255,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,65+,"Some college, no degree",White,,,Roman Catholic,A few times a year,,,Liberal,2 people,Full-time employment
1257,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,"Some college, no degree",White,"Yes, a citizen of the United States",Married,Protestant,Seldom,Independent,,Liberal,More than 4,Part-time employment
1259,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Married,Other,Never,,,Moderate,4 people,Part-time employment
1260,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,18-29,Postgraduate,White,"Yes, a citizen of the United States",,Atheist,Never,Democrat,"\$30,000-\$50,000",Very liberal,2 people,Full-time employment
1262,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,"Some college, no degree",Black,"Yes, a citizen of the United States",Never been married,Agnostic,Never,Independent,,Moderate,2 people,Self-employed
1266,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,High school graduate,Black,"Yes, a citizen of the United States",Never been married,Agnostic,Seldom,,,Very liberal,3 people,Unemployed
1267,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,High school graduate,White,"Yes, a citizen of the United States",Married,Agnostic,Never,Democrat,,Moderate,4 people,Full-time employment
1270,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",Married,Roman Catholic,Once a week,Republican,,Conservative,3 people,Full-time employment
1276,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,65+,Associate's degree,White,"Yes, a citizen of the United States",Married,Roman Catholic,Once or twice a month,Republican,,Conservative,2 people,Retired
1278,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,65+,Postgraduate,Black,"Yes, a citizen of the United States",Never been married,Protestant,A few times a year,Democrat,"Less than $30,000",Liberal,1 person,Retired
1279,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,High school graduate,White,"Yes, a citizen of the United States",Divorced,Protestant,Never,Independent,"Less than $30,000",Liberal,1 person,Retired
1282,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,65+,Postgraduate,White,Yes,Widowed,Protestant,Once a week,Democrat,,Liberal,1,Retired
1283,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,College graduate/some postgrad,Other,,Never been married,Protestant,Once a week,Independent,,Conservative,2,Unemployed
1285,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,"Some college, no degree",White,,Never been married,Agnostic,Never,Democrat,,Liberal,1 person,Unemployed
1286,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,18-29,"Some college, no degree",Hispanic,,Never been married,Nothing in particular,Never,Democrat,,Conservative,4,Full-time employment
1287,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,65+,High school graduate,White,,Divorced,Other,Never,,,Liberal,1,Retired
1288,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,Postgraduate,White,,Married,Protestant,Once a week,Republican,,Very conservative,2,Retired
1290,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Associate's degree,White,"Yes, a citizen of the United States",Married,Protestant,Seldom,,,Moderate,2 people,Self-employed
1291,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,50-64,College graduate/some postgrad,White,,,Orthodox,A few times a year,Independent,,Moderate,2,Full-time employment
1298,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,Postgraduate,White,"Yes, a citizen of the United States",Married,Protestant,More than once a week,,,Conservative,More than 4,Full-time employment
1305,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,College graduate/some postgrad,Black,,Divorced,Roman Catholic,A few times a year,Democrat,,Liberal,3,Full-time employment
1306,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,65+,College graduate/some postgrad,Black,"Yes, a citizen of the United States",,Nothing in particular,Seldom,Democrat,"\$30,000-\$50,000",Liberal,2 people,Retired
1307,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,65+,Postgraduate,White,,Married,Protestant,Once or twice a month,Democrat,,Liberal,2 people,Retired
1309,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,Associate's degree,White,"Yes, a citizen of the United States",Married,Other,Once a week,,,Conservative,4 people,Self-employed
1310,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,Associate's degree,White,"Yes, a citizen of the United States",Married,Protestant,Seldom,Republican,,Very conservative,2,Retired
1311,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Married,Buddhist,A few times a year,,,Moderate,2 people,Full-time employment
1313,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,High school graduate,Hispanic,"Yes, a citizen of the United States",,Other,Never,,,Very liberal,2 people,Unemployed
1315,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,Associate's degree,White,"Yes, a citizen of the United States",Married,Roman Catholic,A few times a year,Republican,,Conservative,2 people,Full-time employment
1317,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,65+,Postgraduate,White,"Yes, a citizen of the United States",,Roman Catholic,Once a week,,,Very liberal,2 people,Full-time employment
1318,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,College graduate/some postgrad,White,,,Nothing in particular,A few times a year,,,Moderate,2,Full-time employment
1320,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Never been married,Atheist,Never,Republican,,Conservative,1 person,Full-time employment
1322,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,Black,,Married,Protestant,Once a week,,,Conservative,2,Self-employed
1323,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,Postgraduate,Black,"Yes, a citizen of the United States",,Agnostic,Never,,,Liberal,3 people,Full-time employment
1325,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,18-29,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Protestant,A few times a year,Republican,,Conservative,4,Part-time employment
1326,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Agnostic,Never,Democrat,,Liberal,3 people,Full-time employment
1328,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,Postgraduate,White,,Never been married,Agnostic,Never,Democrat,,Liberal,2,Full-time employment
1329,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,High school graduate,Hispanic,"Yes, a citizen of the United States",,Agnostic,Never,Democrat,,Liberal,More than 4,Full-time employment
1333,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Married,Protestant,More than once a week,,,Very conservative,4 people,Self-employed
1334,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,High school graduate,White,"Yes, a citizen of the United States",,Nothing in particular,Never,Republican,,Conservative,2 people,Full-time employment
1335,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,High school graduate,Black,"Yes, a citizen of the United States",Never been married,Other,Never,,,Moderate,2 people,Self-employed
1336,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Married,Roman Catholic,More than once a week,,,Conservative,3 people,Full-time employment
1338,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,65+,Associate's degree,White,"Yes, a citizen of the United States",Widowed,Nothing in particular,Never,,,Moderate,2 people,Part-time employment
1339,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Married,Roman Catholic,Once a week,,,Very conservative,More than 4,Full-time employment
1340,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,White,,Married,Nothing in particular,A few times a year,Democrat,,Liberal,More than 4,Full-time employment
1346,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,Postgraduate,White,"Yes, a citizen of the United States",Married,Roman Catholic,More than once a week,,,Very conservative,4 people,Part-time employment
1347,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,50-64,Postgraduate,White,"Yes, a citizen of the United States",Married,Roman Catholic,Once a week,Republican,"\$100,000 or more",Conservative,4 people,Full-time employment
1348,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,"Some college, no degree",White,,Widowed,Protestant,Seldom,,,Liberal,1,Self-employed
1349,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,College graduate/some postgrad,White,,,Protestant,A few times a year,,,Very liberal,3 people,Full-time employment
1351,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Married,Roman Catholic,Once or twice a month,Democrat,"\$100,000 or more",Moderate,3 people,Full-time employment
1352,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,Postgraduate,Black,"Yes, a citizen of the United States",,Orthodox,A few times a year,,,Moderate,2 people,Full-time employment
1353,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,High school graduate,White,"Yes, a citizen of the United States",Married,Protestant,Once a week,,,Moderate,2 people,Self-employed
1355,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,White,,Married,Protestant,Once a week,Democrat,,Liberal,4,Full-time employment
1356,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",Married,Nothing in particular,Never,Republican,,Moderate,4 people,Self-employed
1357,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,College graduate/some postgrad,White,,Married,Jewish,Never,Democrat,"\$100,000 or more",Very liberal,2,Retired
1359,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Roman Catholic,Seldom,Republican,,Conservative,2 people,Full-time employment
1361,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,"Some college, no degree",White,"Yes, a citizen of the United States",Widowed,Atheist,Never,Democrat,"\$30,000-\$50,000",Very liberal,1 person,Retired
1362,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,"Some college, no degree",White,"Yes, a citizen of the United States",Married,Roman Catholic,Seldom,Democrat,"$50,000-$75,000",Liberal,2 people,Full-time employment
1365,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Never been married,Protestant,Seldom,Republican,,Conservative,4 people,Unemployed
1366,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",,Atheist,Never,,,Liberal,4 people,Full-time employment
1367,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,College graduate/some postgrad,Other,,Married,Agnostic,A few times a year,Democrat,,Moderate,4,Full-time employment
1368,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,30-49,"Some college, no degree",Other,,Divorced,Nothing in particular,Never,Independent,,Very liberal,1 person,Unemployed
1369,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,18-29,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Other,A few times a year,Republican,"\$100,000 or more",Conservative,4 people,Part-time employment
1370,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,30-49,Postgraduate,White,,Divorced,Agnostic,Never,,,Moderate,4 people,Full-time employment
1371,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,College graduate/some postgrad,White,,Married,Protestant,Seldom,,,Moderate,3,Retired
1373,"Lives in the South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Never been married,Other,Once a week,,,Moderate,1 person,Retired
1377,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,65+,College graduate/some postgrad,White,Yes,Widowed,Roman Catholic,Once or twice a month,Democrat,"Less than $30,000",Liberal,1,Retired
1378,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,65+,College graduate/some postgrad,White,,,Protestant,Never,Democrat,,Moderate,2,Retired
1381,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,Postgraduate,White,,Married,Jewish,Once or twice a month,Democrat,,Conservative,2 people,Full-time employment
1382,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,"Some college, no degree",Black,,Never been married,Nothing in particular,Never,,,Very liberal,4,Student
1385,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Married,Roman Catholic,Once a week,,,Very conservative,3 people,Full-time employment
1388,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,Associate's degree,Hispanic,,Never been married,Buddhist,Never,Independent,,Moderate,1 person,Retired
1389,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,65+,Postgraduate,Other,,Married,Agnostic,Never,,,Liberal,2 people,Retired
1390,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,"Some college, no degree",White,"Yes, a citizen of the United States",Married,Protestant,Once a week,,,Very conservative,2 people,Unemployed
1391,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,"Some college, no degree",White,"Yes, a citizen of the United States",Married,Protestant,Seldom,,,Moderate,2 people,Retired
